year,uniquenest,birdID_male,prov_rate_male,prop_prov_male,birdID_female,prov_rate_female,prop_prov_female,Total_prov_rate,male_age,average_age_male,delta_age_male,female_age,average_age_female,delta_age_female,pairbond,bs,age_difference
2018,145,Humbert,0.4,36.36363636,Malaria,0.7,63.63636364,1.1,7,6,1,6,5,0,1,2,1
2018,146,Lucius,1.2,85.71428571,Selima,0.2,14.28571429,1.4,17,17,0,5,9.7,0.3,1,2,12
2018,147,Karlson,0.4,66.66666667,Princess,0.2,33.33333333,0.6,17,16.7,0.3,10,7,1,3,1,7
2018,148,Lamar,0.125,11.11111111,Tetje,1,88.88888889,1.125,8,7,1,8,17,1,5,2,0
2018,149,Luca,0.5,33.33333333,Anita,1,66.66666667,1.5,8,7,1,18,16.5,-1.5,3,1,10
2018,150,Norbert,0.9,39.13043478,Mariella,1.4,60.86956522,2.3,19,18,1,15,7.5,0.5,7,3,4
2018,151,Russell,2.3,88.46153846,Pinelopi,0.3,11.53846154,2.6,7,6.5,0.5,8,8.7,0.3,4,3,1
2018,152,Kirk,0.6,50,Kayley,0.6,50,1.2,8,7.7,0.3,9,18,1,1,1,-1
2018,153,Ismael,1.2,75,Bea,0.4,25,1.6,8,7.5,0.5,19,6,1,4,3,11
2018,154,Jerome,3.333333333,74.07407407,Lorena,1.166666667,25.92592593,4.5,8,7,1,7,8,0,4,2,1
2018,155,Falk,1.3,76.47058824,Guinea,0.4,23.52941176,1.7,21,21,0,8,5,0,2,1,13
2018,156,Nathan,1,58.82352941,Caprice,0.7,41.17647059,1.7,5,5,0,5,6,0,3,3,0
2018,157,Antoine,1.5,52.94117647,Simke,1.333333333,47.05882353,2.833333333,5,5,0,6,11,1,3,2,1
2018,158,Willi,0.7,43.75,Hannah,0.9,56.25,1.6,18,17,1,12,7,1,5,2,6
2018,159,Milad,1,90.90909091,Trientje,0.1,9.090909091,1.1,10,9,1,8,7.7,0.3,4,2,2
2018,160,Linneus,0.9,75,Indira,0.3,25,1.2,7,6.5,0.5,8,6,0,3,3,1
2018,161,Putin,0.5,50,Medusa,0.5,50,1,8,8,0,6,19,0,2,2,2
2018,162,Sindbad,0.666666667,57.14285714,Jennifer,0.5,42.85714286,1.166666667,17,16,1,19,12,1,1,1,2
2018,163,Larkin,1.9,76,1V005418,0.6,24,2.5,13,12.5,0.5,12,7.7,0.3,3,3,1
2018,164,Finnegan,0.9,69.23076923,Benita,0.4,30.76923077,1.3,8,7.5,0.5,8,5,0,5,3,0
2018,165,Olesko,0.4,66.66666667,Maribel,0.2,33.33333333,0.6,7,6,1,5,9,1,1,2,2
2018,166,Calimero,0.6,66.66666667,99Z29707,0.3,33.33333333,0.9,11,10,1,10,9.5,0.5,1,1,1
2018,167,Armando,1.1,84.61538462,u34,0.2,15.38461538,1.3,18,17,1,NA,NA,NA,0,3,18
2019,168,Chio,1.6,84.21052632,Elvira,0.3,15.78947368,1.9,8,8.5,0.5,18,18,2,2,3,10
2019,169,August,1.3,86.66666667,Lulu,0.2,13.33333333,1.5,20,18,2,20,16,2,18,2,0
2019,170,Roy,0.3,37.5,Nell,0.5,62.5,0.8,18,16,2,18,8.5,0.5,6,3,0
2019,171,Jarvis,0.9,39.13043478,Dilara,1.4,60.86956522,2.3,9,7.3,1.7,9,9,2,4,3,0
2019,172,Hamlet,1.1,84.61538462,Rihanna,0.2,15.38461538,1.3,11,9,2,11,7.5,0.5,7,1,0
2019,173,Knuckles,1.4,93.33333333,Viola,0.1,6.666666667,1.5,7,5.7,1.3,8,6.7,1.3,1,1,1
2019,174,Hasso,1.1,73.33333333,Cathy,0.4,26.66666667,1.5,9,7,2,8,9,2,6,3,1
2019,175,Gonzales,0.7,63.63636364,Sarina,0.4,36.36363636,1.1,9,9,0,11,9,2,1,3,2
2019,176,Dildo,0.4,66.66666667,Cosima,0.2,33.33333333,0.6,9,7,0,9,7,2,6,2,0
2019,177,Blake ,0.3,37.5,Jantje,0.5,62.5,0.8,10,8.3,1.8,9,5,0,6,3,1
2019,178,Hanno,0.9,81.81818182,Rosemarie,0.2,18.18181818,1.1,6,6,0,5,5.5,0.5,3,3,1
2019,179,Arno,0.9,42.85714286,Gloria,1.2,57.14285714,2.1,6,5.5,0.5,6,5.5,0.5,3,2,0
2019,180,Cupido,1.5,88.23529412,Nebula,0.2,11.76470588,1.7,5,5,0,4,5,0,1,2,1
2019,181,Amrat,1.1,91.66666667,Dory,0.1,8.333333333,1.2,3,3,0,5,5,0,1,2,2
2019,182,Parmesan,0.7,77.77777778,7932306,0.2,22.22222222,0.9,7,7,0,5,9.7,1.3,1,1,2
2019,183,Karlson,0.9,60,Princess,0.6,40,1.5,18,16.7,1.3,11,9.5,1.5,4,2,7
2019,184,Abel,0.8,72.72727273,u35,0.3,27.27272727,1.1,11,9,2,11,7,2,0,3,0
2019,185,Lamar,0.7,77.77777778,Tetje,0.2,22.22222222,0.9,9,7,2,9,5,0,6,2,0
2019,186,Satan,1.6,80,melek,0.4,20,2,8,6,2,8,8,0,1,3,0
2019,187,70003130,1.6,94.11764706,Joanne,0.1,5.882352941,1.7,4,4,0,5,8.7,1.3,1,1,1
2019,188,Kirk,0.8,61.53846154,Kayley,0.5,38.46153846,1.3,9,7.7,1.3,10,7.5,1.5,2,3,1
2019,189,Russel,0.5,62.5,Pinelopi,0.3,37.5,0.8,8,6.5,1.5,9,9,0,5,3,1
2019,190,Ismael,0.6,75,Kirsty ,0.2,25,0.8,9,7.5,1.5,9,3,0,1,2,0
2019,191,Milhouse,0.1,100,Lisandra,0,0,0.1,7,7,0,3,5,0,0,1,4
2019,192,AlCapone,0.9,90,Jofi,0.1,10,1,3,3,0,5,5,0,1,2,2
2019,193,Larkin,0.4,66.66666667,u36,0.2,33.33333333,0.6,14,12.5,1.5,NA,7.7,1.3,0,2,14
2019,194,Linneus ,1.4,73.68421053,Indira,0.5,26.31578947,1.9,8,6.5,1.5,9,7.7,1.3,4,2,1
2019,195,Finnegan,0.3,75,Benita,0.1,25,0.4,9,7.5,1.5,9,3,0,6,2,0
2019,196,Pinochio,0.4,40,Eclipse,0.6,60,1,6,6,0,3,6,0,1,3,3
2019,197,Thies,0.6,66.66666667,Merula,0.3,33.33333333,0.9,5,5,0,6,6,0,1,2,1
